 	"drug_name"	"gene_name"
"1"	"paclitaxel"	"AURKA"
"2"	"Alisertib"	"AURKA"
"3"	"PF-00299804"	"MET"
"4"	"erlotinib"	"MET"
"5"	"AMG 337"	"MET"
"6"	"MEK162"	"MET"
"7"	"cabozantinib"	"MET"
"8"	"Trametinib"	"MET"
"9"	"bosutinib"	"MET"
"10"	"crizotinib"	"MET"
"11"	"dasatinib"	"MET"
"12"	"imatinib"	"PDGFRB"
"13"	"sunitinib"	"PDGFRB"
"14"	"dasatinib"	"PDGFRB"
"15"	"sorafenib"	"PDGFRB"
"16"	"Axitinib"	"PDGFRB"
"17"	"sunitinib"	"PDGFRA"
"18"	"axitinib"	"PDGFRA"
"19"	"sorafenib"	"PDGFRA"
"20"	"dasatinib"	"PDGFRA"
"21"	"imatinib"	"PDGFRA"
"22"	"sorafenib"	"KIT"
"23"	"sunitinib"	"KIT"
"24"	"dasatinib"	"KIT"
"25"	"cabozantinib"	"KIT"
"26"	"PLX3397"	"KIT"
"27"	"Axitinib"	"KIT"
"28"	"imatinib"	"KIT"
"29"	"sorafenib"	"KDR"
"30"	"sunitinib"	"KDR"
"31"	"cabozantinib"	"KDR"
"32"	"Axitinib"	"KDR"
"33"	"sorafenib"	"FLT4"
"34"	"sunitinib"	"FLT4"
"35"	"Axitinib"	"FLT4"
"36"	"sunitinib"	"FLT1"
"37"	"Axitinib"	"FLT1"
"38"	"sorafenib"	"FLT1"
"39"	"Axitinib"	"ABL1"
"40"	"bosutinib"	"ABL1"
"41"	"imatinib"	"ABL1"
"42"	"dasatinib"	"ABL1"
"43"	"BGJ398"	"FGFR3"
"44"	"bortezomib"	"FGFR3"
"45"	"BGJ398"	"FGFR3"
"46"	"erlotinib"	"FGFR2"
"47"	"BGJ398"	"FGFR2"
"48"	"PF-00299804"	"FGFR2"
"49"	"erlotinib"	"FGFR1"
"50"	"BGJ398"	"FGFR1"
"51"	"PF-00299804"	"FGFR1"
"52"	"dasatinib"	"EMPTY"
"53"	"BGJ398"	"EMPTY"
"54"	"MLN2480"	"EMPTY"
"55"	"bortezomib"	"PSMD4"
"56"	"MLN9708"	"PSMD4"
"57"	"bortezomib"	"PSMB8"
"58"	"MLN9708"	"PSMB8"
"59"	"bortezomib"	"PSMB5"
"60"	"MLN9708"	"PSMB5"
"61"	"bosutinib"	"SRC"
"62"	"dasatinib"	"SRC"
"63"	"imatinib"	"LYN"
"64"	"bosutinib"	"LYN"
"65"	"dasatinib"	"LYN"
"66"	"dasatinib"	"BTK"
"67"	"bosutinib"	"BTK"
"68"	"PF-00299804"	"AXL"
"69"	"cabozantinib"	"AXL"
"70"	"bosutinib"	"AXL"
"71"	"erlotinib"	"AXL"
"72"	"imatinib"	"AXL"
