"source"	"target"
"1"	27451	27502
"2"	27451	27507
"3"	27451	32044
"4"	27451	27489
"5"	27452	28120
"6"	27452	27633
"7"	27452	27520
"8"	27452	27640
"9"	27452	29805
"10"	27452	27645
"11"	27452	27885
"12"	27452	27650
"13"	27453	27718
"14"	27453	27713
"15"	27453	27695
"16"	27453	27688
"17"	27453	27708
"18"	27453	28240
"19"	27453	27667
"20"	27453	27653
"21"	27453	27681
"22"	27453	27674
"23"	27454	27660
"24"	27455	27723
"25"	27455	28001
"26"	27455	27726
"27"	27455	27858
"28"	27455	29611
"29"	27455	27749
"30"	27455	29689
"31"	27455	27876
"32"	27455	27873
"33"	27455	27870
"34"	27455	27867
"35"	27455	29614
"36"	27455	27640
"37"	27455	27879
"38"	27455	27882
"39"	27455	27885
"40"	27455	27896
"41"	27456	28001
"42"	27456	28041
"43"	27456	27726
"44"	27456	27979
"45"	27456	27958
"46"	27456	27976
"47"	27456	28046
"48"	27456	28064
"49"	27456	28031
"50"	27456	27996
"51"	27456	27991
"52"	27456	28006
"53"	27456	28021
"54"	27456	28059
"55"	27456	28036
"56"	27456	28026
"57"	27456	28016
"58"	27456	28011
"59"	27456	27986
"60"	27456	27971
"61"	27456	27966
"62"	27456	27963
"63"	27456	28269
"64"	27456	27899
"65"	27456	27953
"66"	27456	27909
"67"	27456	27904
"68"	27456	27948
"69"	27457	29793
"70"	27457	28138
"71"	27457	28123
"72"	27457	28108
"73"	27457	27718
"74"	27457	28115
"75"	27457	30975
"76"	27457	27520
"77"	27457	28120
"78"	27457	28133
"79"	27457	28128
"80"	27458	29793
"81"	27458	28138
"82"	27458	28240
"83"	27458	27695
"84"	27458	28269
"85"	27458	28233
"86"	27458	27667
"87"	27458	27674
"88"	27458	28120
"89"	27458	27520
"90"	27458	27963
"91"	27459	28696
"92"	27459	28689
"93"	27459	28682
"94"	27459	28677
"95"	27459	28338
"96"	27459	28721
"97"	27459	28712
"98"	27459	28705
"99"	27459	28653
"100"	27459	28311
"101"	27459	28644
"102"	27459	28637
"103"	27459	28370
"104"	27459	28672
"105"	27459	28667
"106"	27459	28656
"107"	27459	28589
"108"	27459	28470
"109"	27459	28575
"110"	27459	28582
"111"	27459	28616
"112"	27459	28630
"113"	27459	28605
"114"	27459	28298
"115"	27459	28537
"116"	27459	28544
"117"	27459	28525
"118"	27459	28532
"119"	27459	28558
"120"	27459	27713
"121"	27459	28553
"122"	27459	33384
"123"	27459	28460
"124"	27459	28455
"125"	27459	28473
"126"	27459	28465
"127"	27459	28485
"128"	27459	28478
"129"	27459	28513
"130"	27459	28498
"131"	27459	28409
"132"	27459	28404
"133"	27459	28419
"134"	27459	28414
"135"	27459	28431
"136"	27459	28426
"137"	27459	28445
"138"	27459	28438
"139"	27459	28291
"140"	27459	28284
"141"	27459	28281
"142"	27459	28361
"143"	27459	27633
"144"	27459	28377
"145"	27459	28386
"146"	27459	28399
"147"	27459	28331
"148"	27459	28328
"149"	27459	28323
"150"	27459	28316
"151"	27459	28828
"152"	27459	28450
"153"	27459	28833
"154"	27459	28802
"155"	27459	28807
"156"	27459	28814
"157"	27459	28819
"158"	27459	28623
"159"	27459	28350
"160"	27459	28792
"161"	27459	28797
"162"	27459	28518
"163"	27459	28757
"164"	27459	28764
"165"	27459	28769
"166"	27459	28736
"167"	27459	28743
"168"	27459	28748
"169"	27459	33389
"170"	27460	27633
"171"	27460	28887
"172"	27460	29805
"173"	27460	28838
"174"	27460	28120
"175"	27460	28896
"176"	27460	27650
"177"	27460	27645
"178"	27460	27520
"179"	27461	28833
"180"	27461	29077
"181"	27461	28465
"182"	27461	29037
"183"	27461	28291
"184"	27461	28656
"185"	27461	29012
"186"	27461	29042
"187"	27461	28470
"188"	27461	29080
"189"	27461	28404
"190"	27461	29072
"191"	27461	28338
"192"	27461	29062
"193"	27461	28705
"194"	27461	29047
"195"	27461	29021
"196"	27461	28996
"197"	27461	29002
"198"	27461	29099
"199"	27461	28518
"200"	27461	28999
"201"	27461	29122
"202"	27461	29113
"203"	27461	28797
"204"	27461	28802
"205"	27461	29104
"206"	27461	29028
"207"	27461	30485
"208"	27462	27660
"209"	27462	27653
"210"	27462	29165
"211"	27462	28115
"212"	27462	28108
"213"	27462	29172
"214"	27462	29376
"215"	27462	29417
"216"	27462	29424
"217"	27462	29427
"218"	27462	31891
"219"	27462	29356
"220"	27462	27896
"221"	27462	29371
"222"	27462	29609
"223"	27462	31726
"224"	27462	28133
"225"	27462	27718
"226"	27462	29345
"227"	27462	29322
"228"	27462	29282
"229"	27462	29275
"230"	27462	29306
"231"	27462	29299
"232"	27462	29206
"233"	27462	30975
"234"	27462	29272
"235"	27462	27667
"236"	27462	29162
"237"	27462	28128
"238"	27462	29340
"239"	27462	29335
"240"	27462	27713
"241"	27462	27708
"242"	27462	28120
"243"	27462	27520
"244"	27463	28064
"245"	27464	29577
"246"	27464	29582
"247"	27464	29567
"248"	27464	29572
"249"	27464	29593
"250"	27464	29598
"251"	27464	27713
"252"	27464	28637
"253"	27464	29037
"254"	27464	29525
"255"	27464	29507
"256"	27464	29512
"257"	27464	27708
"258"	27464	29520
"259"	27464	29489
"260"	27464	29492
"261"	27464	29495
"262"	27464	29502
"263"	27464	29542
"264"	27464	29537
"265"	27464	29532
"266"	27464	29476
"267"	27464	29562
"268"	27464	29557
"269"	27464	29552
"270"	27464	29547
"271"	27465	29706
"272"	27465	27749
"273"	27465	29689
"274"	27465	27520
"275"	27465	28120
"276"	27465	29692
"277"	27465	28064
"278"	27465	29731
"279"	27465	29726
"280"	27465	29714
"281"	27465	29637
"282"	27465	29796
"283"	27465	29675
"284"	27465	27645
"285"	27465	29763
"286"	27465	27879
"287"	27465	29621
"288"	27465	29747
"289"	27465	29651
"290"	27465	31891
"291"	27465	27640
"292"	27465	29758
"293"	27465	29665
"294"	27465	29753
"295"	27465	29680
"296"	27465	29773
"297"	27465	27885
"298"	27465	29768
"299"	27465	29609
"300"	27465	27858
"301"	27465	29322
"302"	27465	27867
"303"	27465	29606
"304"	27465	28138
"305"	27465	31726
"306"	27465	29611
"307"	27465	29711
"308"	27465	27633
"309"	27465	29701
"310"	27465	29793
"311"	27465	29721
"312"	27465	29646
"313"	27465	29335
"314"	27465	29805
"315"	27465	29345
"316"	27465	29614
"317"	27465	29736
"318"	27465	27882
"319"	27466	30444
"320"	27466	30416
"321"	27466	30427
"322"	27466	29476
"323"	27466	28460
"324"	27466	30422
"325"	27466	30419
"326"	27466	30409
"327"	27466	30412
"328"	27466	28656
"329"	27466	27713
"330"	27466	28465
"331"	27466	30510
"332"	27466	29047
"333"	27466	30497
"334"	27466	29577
"335"	27466	29512
"336"	27466	28637
"337"	27466	29037
"338"	27466	30471
"339"	27466	28623
"340"	27466	29537
"341"	27466	30485
"342"	27466	29028
"343"	27466	30488
"344"	27466	28338
"345"	27466	30476
"346"	27466	29062
"347"	27466	30550
"348"	27466	31116
"349"	27466	30515
"350"	27466	28682
"351"	27467	30597
"352"	27467	30592
"353"	27467	28291
"354"	27467	30600
"355"	27467	30485
"356"	27467	29028
"357"	27467	30584
"358"	27467	30488
"359"	27467	30631
"360"	27467	30636
"361"	27467	28736
"362"	27467	30626
"363"	27467	30643
"364"	27467	30589
"365"	27467	30648
"366"	27467	30614
"367"	27467	30619
"368"	27468	30711
"369"	27468	30706
"370"	27468	30727
"371"	27468	30720
"372"	27468	30661
"373"	27468	30698
"374"	27468	30655
"375"	27468	30658
"376"	27468	31726
"377"	27468	29609
"378"	27468	30734
"379"	27468	31596
"380"	27468	29322
"381"	27468	29637
"382"	27469	29371
"383"	27469	28064
"384"	27469	31030
"385"	27469	29427
"386"	27469	27645
"387"	27469	29345
"388"	27469	31891
"389"	27469	29356
"390"	27469	31003
"391"	27469	28115
"392"	27469	30975
"393"	27469	30992
"394"	27469	27718
"395"	27469	29322
"396"	27469	29609
"397"	27469	31726
"398"	27469	27653
"399"	27469	29793
"400"	27469	28138
"401"	27469	30756
"402"	27469	30759
"403"	27469	30983
"404"	27469	30978
"405"	27469	27667
"406"	27469	27660
"407"	27470	31082
"408"	27470	31122
"409"	27470	31116
"410"	27470	30550
"411"	27470	29037
"412"	27470	30412
"413"	27470	31072
"414"	27470	31077
"415"	27470	28064
"416"	27470	31103
"417"	27470	28059
"418"	27471	31135
"419"	27471	31142
"420"	27472	29796
"421"	27472	27640
"422"	27472	31169
"423"	27472	31899
"424"	27472	31726
"425"	27472	29637
"426"	27472	29322
"427"	27472	29609
"428"	27472	27885
"429"	27472	29763
"430"	27472	31216
"431"	27472	31211
"432"	27472	31228
"433"	27472	31219
"434"	27472	31152
"435"	27472	31149
"436"	27472	27645
"437"	27472	29675
"438"	27472	31155
"439"	27472	31164
"440"	27472	29345
"441"	27472	31891
"442"	27472	31293
"443"	27472	31307
"444"	27472	31312
"445"	27472	31875
"446"	27472	29753
"447"	27472	31347
"448"	27472	27520
"449"	27472	28120
"450"	27472	27879
"451"	27472	28887
"452"	27472	31262
"453"	27472	28064
"454"	27472	30658
"455"	27472	31841
"456"	27473	31427
"457"	27473	31763
"458"	27473	31602
"459"	27473	31673
"460"	27473	31596
"461"	27473	30734
"462"	27473	31632
"463"	27473	31581
"464"	27473	30658
