"drug_name"	"gene_name"
"1"	"Alisertib"	"AURKB"
"2"	"Alisertib"	"HMMR"
"3"	"AMG 337"	"EGFR"
"4"	"carboplatin"	"EGFR"
"5"	"PF-00299804"	"EGFR"
"6"	"crizotinib"	"EGFR"
"7"	"erlotinib"	"EGFR"
"8"	"sorafenib"	"EGFR"
"9"	"MEK162"	"ERBB3"
"10"	"BGJ398"	"ERBB3"
"11"	"PF-00299804"	"ERBB3"
"12"	"erlotinib"	"ERBB3"
"13"	"Trametinib"	"ERBB3"
"14"	"AMG 337"	"ERBB3"
"15"	"temsirolimus"	"KRAS"
"16"	"PF-00299804"	"KRAS"
"17"	"pemetrexed"	"KRAS"
"18"	"imatinib"	"KRAS"
"19"	"MLN0128"	"KRAS"
"20"	"MEK162"	"KRAS"
"21"	"AMG 337"	"KRAS"
"22"	"sunitinib"	"KRAS"
"23"	"MLN1117"	"KRAS"
"24"	"crizotinib"	"KRAS"
"25"	"erlotinib"	"KRAS"
"26"	"Trametinib"	"KRAS"
"27"	"AMG 337"	"TGFA"
"28"	"crizotinib"	"TGFA"
"29"	"cabozantinib"	"RET"
"30"	"Axitinib"	"RET"
"31"	"doxorubicin"	"ABCB1"
"32"	"Axitinib"	"ABCB1"
"33"	"paclitaxel"	"ABCB1"
"34"	"dasatinib"	"ABCB1"
"35"	"Axitinib"	"ABCG2"
"36"	"doxorubicin"	"ABCG2"
"37"	"etoposide"	"ABCG2"
"38"	"dasatinib"	"ABCG2"
"39"	"carboplatin"	"ABCG2"
"40"	"erlotinib"	"FGF2"
"41"	"PF-00299804"	"FGF2"
"42"	"BGJ398"	"FGF2"
"43"	"BGJ398"	"FGF9"
"44"	"BGJ398"	"CDH1"
"45"	"BGJ398"	"CDH13"
"46"	"BGJ398"	"NRG1"
"47"	"MLN1117"	"NRG1"
"48"	"PF-00299804"	"NRG1"
"49"	"Trametinib"	"NRG1"
"50"	"MEK162"	"NRG1"
"51"	"erlotinib"	"NRG1"
"52"	"BGJ398"	"ERBB2"
"53"	"PF-00299804"	"ERBB2"
"54"	"erlotinib"	"ERBB2"
"55"	"PF-00299804"	"ERBB2"
"56"	"Trametinib"	"ERBB2"
"57"	"erlotinib"	"ERBB2"
"58"	"BGJ398"	"ERBB2"
"59"	"AMG 337"	"ERBB2"
"60"	"MEK162"	"ERBB2"
"61"	"MLN9708"	"HSPB1"
"62"	"bortezomib"	"HSPB1"
"63"	"bortezomib"	"HSPB2"
"64"	"MLN9708"	"HSPB2"
"65"	"MLN9708"	"TRAF3"
"66"	"bortezomib"	"TRAF3"
"67"	"bortezomib"	"FLT3"
"68"	"sorafenib"	"FLT3"
"69"	"sunitinib"	"FLT3"
